Category name,Restaurant,Menu,Description,Status,Order,Actions
Starters,Bin 612,All Day,Starters,Active,1,"Activate, Deactivate, Edit"
Soup & Salad,Bin 612,All Day,Soup & Salad,Active,2,"Activate, Deactivate, Edit"
Panini,Bin 612,All Day,Panini,Active,3,"Activate, Deactivate, Edit"
Entrees,Bin 612,All Day,Entrees,Active,4,"Activate, Deactivate, Edit"
Pizza,Bin 612,All Day,Pizza,Active,5,"Activate, Deactivate, Edit"
Cheese Fries,Bin 612,All Day,Cheese Fries,Active,6,"Activate, Deactivate, Edit"
Sides,Bin 612,All Day,Sides,Active,9,"Activate, Deactivate, Edit"
Tacos,Bin 612,All Day,Tacos,Active,8,"Activate, Deactivate, Edit"
Drinks,Bin 612,All Day,Drinks,Active,10,"Activate, Deactivate, Edit"
Bagel Sandwiches,City Bagel Cafe,Breakfast & Lunch,Bagel Sandwiches,Active,1,"Activate, Deactivate, Edit"
Breakfast Bagels,City Bagel Cafe,Breakfast & Lunch,Breakfast Bagels,Active,2,"Activate, Deactivate, Edit"
City Salads,City Bagel Cafe,Breakfast & Lunch,City Salads,Active,3,"Activate, Deactivate, Edit"
Desserts,City Bagel Cafe,Breakfast & Lunch,Desserts,Active,4,"Activate, Deactivate, Edit"
Coffee & Tea,City Bagel Cafe,Breakfast & Lunch,Coffee & Tea,Active,5,"Activate, Deactivate, Edit"
Fresh Fruit Smoothies,City Bagel Cafe,Breakfast & Lunch,Fresh Fruit Smoothies,Active,6,"Activate, Deactivate, Edit"
Beverages,City Bagel Cafe,Breakfast & Lunch,Beverages,Active,7,"Activate, Deactivate, Edit"
Antipasti (Appetizers),City Bagel Cafe,Italian Night,Antipasti (Appetizers),Active,1,"Activate, Deactivate, Edit"
Insalate (Salads),City Bagel Cafe,Italian Night,Insalate (Salads),Active,2,"Activate, Deactivate, Edit"
City Sandwiches,City Bagel Cafe,Italian Night,City Sandwiches,Active,3,"Activate, Deactivate, Edit"
Hand Tossed Pizza,City Bagel Cafe,Italian Night,Hand Tossed Pizza,Active,4,"Activate, Deactivate, Edit"
Pasta,City Bagel Cafe,Italian Night,Pasta,Active,5,"Activate, Deactivate, Edit"
Kid's Menu,City Bagel Cafe,Italian Night,Kid's Menu,Active,6,"Activate, Deactivate, Edit"
Side Items,City Bagel Cafe,Breakfast & Lunch,Side Items,Active,6,"Activate, Deactivate, Edit"
Alfredo Dishes,Gondolier Italian Restaurant and Pizza,Dinner,Alfredo Dishes,Active,1,"Activate, Deactivate, Edit"
Appetizers,Gondolier Italian Restaurant and Pizza,Dinner,Appetizers,Active,2,"Activate, Deactivate, Edit"
Baked Dishes,Gondolier Italian Restaurant and Pizza,Dinner,Baked Dishes,Active,3,"Activate, Deactivate, Edit"
Burgers,Gondolier Italian Restaurant and Pizza,Dinner,Burgers,Active,4,"Activate, Deactivate, Edit"
Calzones,Gondolier Italian Restaurant and Pizza,Dinner,Calzones,Active,5,"Activate, Deactivate, Edit"
Desserts,Gondolier Italian Restaurant and Pizza,Dinner,Desserts,Active,6,"Activate, Deactivate, Edit"
Kid's Menu,Gondolier Italian Restaurant and Pizza,Dinner,Kid's Menu,Active,7,"Activate, Deactivate, Edit"
Pasta,Gondolier Italian Restaurant and Pizza,Dinner,Pasta,Active,8,"Activate, Deactivate, Edit"
Pitas,Gondolier Italian Restaurant and Pizza,Dinner,Pitas,Active,9,"Activate, Deactivate, Edit"
Pizzas,Gondolier Italian Restaurant and Pizza,Dinner,Pizzas,Active,10,"Activate, Deactivate, Edit"
Plates,Gondolier Italian Restaurant and Pizza,Dinner,Plates,Active,11,"Activate, Deactivate, Edit"
Salads,Gondolier Italian Restaurant and Pizza,Dinner,Salads,Active,12,"Activate, Deactivate, Edit"
Seafood,Gondolier Italian Restaurant and Pizza,Dinner,Seafood,Active,13,"Activate, Deactivate, Edit"
Strombolis,Gondolier Italian Restaurant and Pizza,Dinner,Strombolis,Active,14,"Activate, Deactivate, Edit"
Subs,Gondolier Italian Restaurant and Pizza,Dinner,Subs,Active,15,"Activate, Deactivate, Edit"
Alfredo Dishes,Gondolier Italian Restaurant and Pizza,Lunch,Alfredo Dishes,Active,1,"Activate, Deactivate, Edit"
Appetizers,Gondolier Italian Restaurant and Pizza,Lunch,Appetizers,Active,2,"Activate, Deactivate, Edit"
Baked Dishes,Gondolier Italian Restaurant and Pizza,Lunch,Baked Dishes,Active,3,"Activate, Deactivate, Edit"
Burgers,Gondolier Italian Restaurant and Pizza,Lunch,Burgers,Active,4,"Activate, Deactivate, Edit"
Calzones,Gondolier Italian Restaurant and Pizza,Lunch,Calzones,Active,5,"Activate, Deactivate, Edit"
Desserts,Gondolier Italian Restaurant and Pizza,Lunch,Desserts,Active,6,"Activate, Deactivate, Edit"
Kid's Menu,Gondolier Italian Restaurant and Pizza,Lunch,Kid's Menu,Active,7,"Activate, Deactivate, Edit"
Pasta,Gondolier Italian Restaurant and Pizza,Lunch,Pasta,Active,8,"Activate, Deactivate, Edit"
Pitas,Gondolier Italian Restaurant and Pizza,Lunch,Pitas,Active,9,"Activate, Deactivate, Edit"
Pizzas,Gondolier Italian Restaurant and Pizza,Lunch,Pizzas,Active,10,"Activate, Deactivate, Edit"
Plates,Gondolier Italian Restaurant and Pizza,Lunch,Plates,Active,11,"Activate, Deactivate, Edit"
Salads,Gondolier Italian Restaurant and Pizza,Lunch,Salads,Active,12,"Activate, Deactivate, Edit"
Seafood,Gondolier Italian Restaurant and Pizza,Lunch,Seafood,Active,13,"Activate, Deactivate, Edit"
Strombolis,Gondolier Italian Restaurant and Pizza,Lunch,Strombolis,Active,14,"Activate, Deactivate, Edit"
Subs,Gondolier Italian Restaurant and Pizza,Lunch,Subs,Active,15,"Activate, Deactivate, Edit"
Tacos,Gondolier Italian Restaurant and Pizza,Lunch,Tacos,Active,16,"Activate, Deactivate, Edit"
Wraps,Gondolier Italian Restaurant and Pizza,Lunch,Wraps,Active,17,"Activate, Deactivate, Edit"
Signature Salads,Mugshots,All Day,Signature Salads,Active,1,"Activate, Deactivate, Edit"
Sandwiches,Mugshots,All Day,Sandwiches,Active,2,"Activate, Deactivate, Edit"
Sides,Mugshots,All Day,Sides,Active,3,"Activate, Deactivate, Edit"
Original Burgers,Mugshots,All Day,Original Burgers,Active,4,"Activate, Deactivate, Edit"
Specialty Burgers,Mugshots,All Day,Specialty Burgers,Active,5,"Activate, Deactivate, Edit"
Plates & Pasta,Mugshots,All Day,Plates & Pasta,Active,6,"Activate, Deactivate, Edit"
Mini Mugs,Mugshots,All Day,Kids Menu,Active,7,"Activate, Deactivate, Edit"
Starters,Mugshots,All Day,Starters,Active,8,"Activate, Deactivate, Edit"
Beverages,Mugshots,All Day,Beverages,Active,9,"Activate, Deactivate, Edit"
Salads,Newks Eatery,All Day,Salads,Active,1,"Activate, Deactivate, Edit"
Sandwiches,Newks Eatery,All Day,Sandwiches,Active,2,"Activate, Deactivate, Edit"
Pizzas,Newks Eatery,All Day,Pizzas,Active,3,"Activate, Deactivate, Edit"
Pairings,Newks Eatery,All Day,Pairings,Active,4,"Activate, Deactivate, Edit"
Soups,Newks Eatery,All Day,Soups,Active,5,"Activate, Deactivate, Edit"
Mac and Cheese,Newks Eatery,All Day,Mac and Cheese,Active,6,"Activate, Deactivate, Edit"
Little Newk's,Newks Eatery,All Day,Little Newk's,Active,7,"Activate, Deactivate, Edit"
Beverages,Newks Eatery,All Day,Beverages,Active,8,"Activate, Deactivate, Edit"
Desserts,Newks Eatery,All Day,Desserts,Active,9,"Activate, Deactivate, Edit"
Grab N Go,Newks Eatery,All Day,Grab N Go,Active,10,"Activate, Deactivate, Edit"
Sides/Dressings,Newks Eatery,All Day,Sides/Dressings,Active,11,"Activate, Deactivate, Edit"
Whole Cakes,Newks Eatery,All Day,Whole Cakes,Active,12,"Activate, Deactivate, Edit"
Appetizers,Restaurant Tyler,Dinner,Appetizers,Active,1,"Activate, Deactivate, Edit"
Salads and Soup,Restaurant Tyler,Dinner,Salads and Soup,Active,2,"Activate, Deactivate, Edit"
Pasta and MS Delta Rice,Restaurant Tyler,Dinner,Pasta and MS Delta Rice,Active,3,"Activate, Deactivate, Edit"
Lake and Sea,Restaurant Tyler,Dinner,Dinner Lake and Sea,Active,4,"Activate, Deactivate, Edit"
Land,Restaurant Tyler,Dinner,Land,Active,5,"Activate, Deactivate, Edit"
Beverages,Restaurant Tyler,Dinner,Beverages,Active,6,"Activate, Deactivate, Edit"
Blue Plates,Restaurant Tyler,Brunch,Blue Plates,Active,6,"Activate, Deactivate, Edit"
Desserts,Restaurant Tyler,Brunch,Desserts,Active,9,"Activate, Deactivate, Edit"
Drinks,Restaurant Tyler,Brunch,Drinks,Active,10,"Activate, Deactivate, Edit"
Eggs,Restaurant Tyler,Brunch,Eggs,Active,5,"Activate, Deactivate, Edit"
Kids,Restaurant Tyler,Brunch,Kids,Active,8,"Activate, Deactivate, Edit"
Omelets,Restaurant Tyler,Brunch,Omelets,Active,3,"Activate, Deactivate, Edit"
Salads and Soup ,Restaurant Tyler,Brunch,Salads and Soup ,Active,1,"Activate, Deactivate, Edit"
Sandwiches and Platters,Restaurant Tyler,Brunch,Sandwiches and Platters,Active,4,"Activate, Deactivate, Edit"
Sides,Restaurant Tyler,Brunch,Sides,Active,7,"Activate, Deactivate, Edit"
Waffles and Things,Restaurant Tyler,Brunch,Waffles and Things,Active,2,"Activate, Deactivate, Edit"
Starches,Restaurant Tyler,Lunch,Starches,Active,2,"Activate, Deactivate, Edit"
Sandwiches,Restaurant Tyler,Lunch,Sandwiches,Active,2,"Activate, Deactivate, Edit"
Entrees,Restaurant Tyler,Dinner,Entrees,Active,2,"Activate, Deactivate, Edit"
Starters,Restaurant Tyler,Dinner,Starters,Active,2,"Activate, Deactivate, Edit"
Salads,Restaurant Tyler,Dinner,Salads,Active,2,"Activate, Deactivate, Edit"
Kids Menu,Rosey Baby,All Day,Kids Menu,Active,9,"Activate, Deactivate, Edit"
Starters,Rosey Baby,All Day,Appetizers,Active,1,"Activate, Deactivate, Edit"
Salads,Rosey Baby,All Day,Salads,Active,2,"Activate, Deactivate, Edit"
Pasta,Rosey Baby,All Day,"Served in Creole sauce with onion, tomato, and mushrooms.",Active,3,"Activate, Deactivate, Edit"
Creole Favorites,Rosey Baby,All Day,Creole Favorites,Active,4,"Activate, Deactivate, Edit"
Po-boys and More,Rosey Baby,All Day,All come with choice of one side,Active,5,"Activate, Deactivate, Edit"
By Land & Sea,Rosey Baby,All Day,By Land & Sea,Active,6,"Activate, Deactivate, Edit"
Sides,Rosey Baby,All Day,Add cheese and/or bacon for an additional $.75,Active,7,"Activate, Deactivate, Edit"
Desserts,Rosey Baby,All Day,Desserts,Active,8,"Activate, Deactivate, Edit"
By Land & Sea,The Little Dooey,All Day,By Land & Sea,Active,1,"Activate, Deactivate, Edit"
Creole Favorites,The Little Dooey,All Day,Creole Favorites,Active,2,"Activate, Deactivate, Edit"
Desserts,The Little Dooey,All Day,Desserts,Active,3,"Activate, Deactivate, Edit"
Kids Menu,The Little Dooey,All Day,Kids Menu,Active,4,"Activate, Deactivate, Edit"
Pasta,The Little Dooey,All Day,Pasta,Active,5,"Activate, Deactivate, Edit"
Po-boys and More,The Little Dooey,All Day,Po-boys and More,Active,6,"Activate, Deactivate, Edit"
Salads,The Little Dooey,All Day,Salads,Active,7,"Activate, Deactivate, Edit"
Sides,The Little Dooey,All Day,Sides,Active,8,"Activate, Deactivate, Edit"
Starters,The Little Dooey,All Day,Starters,Active,9,"Activate, Deactivate, Edit"
Bar B Q Sandwiches,The Little Dooey,All Day,Bar B Q Sandwiches,Active,10,"Activate, Deactivate, Edit"
