Title,Restaurant,Menu,Category,Description,Price,Status,Action,# Sides,Side:Cost(Choose #),Size(Choose 1),Options:Cost(Choose 1),Additional options(Choose 1),Additional options(Choose 1),Add-ons:Cost (Choose Any),Temp (Choose 1)
Buffalo Tender Cheese Fries,Bin 612,All Day,Cheese Fries,"Cheese fries topped with a fried chicken tender tossed with hot, buttery buffalo sauce.",8.00,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Cheese Fries,Bin 612,All Day,Cheese Fries,Plain cheese fries.,5.00,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Philly Cheese Steak Fries,Bin 612,All Day,Cheese Fries,"Cheese fries topped with sauteed onions, peppers, and seared beef.",8.00,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Chicken Tender Cheese Fries,Bin 612,All Day,Cheese Fries,Cheese fries topped with a fried and dry bbq-dusted chicken tender.,8.00,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Hot Bacon Cheese Fries,Bin 612,All Day,Cheese Fries,Cheese fries topped with jalapeno heat and bacon love.,8.00,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Shrimp Avocado Cheese Fries,Bin 612,All Day,Cheese Fries,"Cheese fries topped with sautéed shrimp, sliced avocado and sriracha.",8.00,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Truffle Parm Cheese Fries,Bin 612,All Day,Cheese Fries,Cheese fries topped with truffle-salt and parmesan cheese.,8.00,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
Beverages,Bin 612,All Day,Drinks,"Coke products, sweet tea, unsweet tea",1.50,Active,"Activate, Deactivate, Feature, Edit",0,,,,,,,
612 Tenders,Bin 612,All Day,Entrees,"Three hand-battered chicken tenders served with BBQ fries and your choice of ranch, honey mustard or feta dipping sauce.",10.95,Active,"Activate, Deactivate, Feature, Edit",0,,,"Ranch, Honey Mustard, Feta",,,"Add Extra Tender:2.95, Buffalo Tender Cheese Fries:4:50, Cheese Fries:4:50, Philly Cheese Steak Fries:4:50, Chicken Tender Cheese Fries:4:50, Hot Bacon Cheese Fries:4:50, Shrimp Avocado Cheese Fries:4:50, Truffle Parm Cheese Fries:4:41",
Bin 612 Burger,Bin 612,All Day,Entrees,"Black angus beef patty, hickory smoked bacon, garlic aioli, lettuce and tomato, served on focaccia with your choice of blue, Swiss, parmesan or mozzarella cheese. Cooked at Medium",11.95,Active,"Activate, Deactivate, Feature, Edit",0,,,"Blue Cheese, Swiss Cheese, Parmesian Cheese, Mozzarella Cheese",,,"Buffalo Tender Cheese Fries:4:50, Cheese Fries:4:50, Philly Cheese Steak Fries:4:50, Chicken Tender Cheese Fries:4:50, Hot Bacon Cheese Fries:4:50, Shrimp Avocado Cheese Fries:4:50, Truffle Parm Cheese Fries:4:41","Medium, Medium Well, Well Done"
